Postcode,IMD Quintile 2019
B1 1AA,4
B1 1AD,4
B1 1AG,1
B1 1AH,4
B1 1AQ,1
B1 1AT,4
B1 1AY,4
B1 1AZ,4
B1 1BA,2
B1 1BB,2
B1 1BD,4
B1 1BE,4
B1 1BF,1
B1 1BG,4
B1 1BH,4
B1 1BJ,4
B1 1BL,2
B1 1BN,2
B1 1BQ,4
B1 1BT,2
B1 1BU,2
B1 1BW,4
B1 1BX,1
B1 1BY,2
B1 1BZ,1
B1 1DA,2
B1 1DB,1
B1 1DD,2
B1 1DE,1
B1 1DF,2
B1 1DG,1
B1 1DH,1
B1 1DJ,1
B1 1DL,1
B1 1DN,1
B1 1DR,1
B1 1DS,1
B1 1DW,1
B1 1DX,4
B1 1ED,4
B1 1EE,4
B1 1EF,4
B1 1EG,2
B1 1EH,2
B1 1EJ,4
B1 1EL,2
B1 1EN,4
B1 1EP,2
B1 1EQ,2
B1 1ER,4
B1 1ES,2
B1 1EU,4
B1 1EW,1
B1 1EY,4
B1 1EZ,1
B1 1FD,3
B1 1FE,4
B1 1FF,3
B1 1FJ,4
B1 1FL,1
B1 1FN,4
B1 1FQ,4
B1 1FU,4
B1 1FW,1
B1 1FZ,1
B1 1GA,1
B1 1GB,1
B1 1GS,2
B1 1GT,1
B1 1HB,4
B1 1HG,1
B1 1HH,4
B1 1HJ,1
B1 1HL,1
B1 1HN,1
B1 1HP,1
B1 1HQ,4
B1 1HR,1
B1 1HU,1
B1 1HW,1
B1 1HX,1
B1 1HY,1
B1 1JB,2
B1 1JD,4
B1 1JE,1
B1 1JG,2
B1 1JH,2
B1 1JJ,1
B1 1JL,1
B1 1JP,4
B1 1JQ,2
B1 1JR,1
B1 1JS,1
B1 1JU,1
B1 1JW,3
B1 1JX,3
B1 1JY,3
B1 1LA,2
B1 1LB,3
B1 1LD,3
B1 1LE,1
B1 1LF,1
B1 1LG,1
B1 1LH,1
B1 1LJ,1
B1 1LL,1
B1 1LN,1
B1 1LP,1
B1 1LR,1
B1 1LS,2
B1 1LT,2
B1 1LU,2
B1 1LW,2
B1 1LX,2
B1 1LY,2
B1 1LZ,4
B1 1NA,1
B1 1NB,1
B1 1ND,2
B1 1NE,1
B1 1NG,1
B1 1NH,1
B1 1NJ,1
B1 1NL,1
B1 1NN,3
B1 1NP,1
B1 1NQ,1
B1 1NS,1
B1 1NT,1
B1 1NU,1
B1 1NW,4
B1 1NX,1
B1 1NY,1
B1 1PA,1
B1 1PB,1
B1 1PD,4
B1 1PE,1
B1 1PF,4
B1 1PG,1
B1 1PH,2
B1 1PL,1
B1 1PN,1
B1 1PP,3
B1 1PQ,3
B1 1PR,3
B1 1PS,2
B1 1PT,3
B1 1PU,4
B1 1PW,3
B1 1PX,1
B1 1PY,1
B1 1PZ,2
B1 1QA,1
B1 1QB,1
B1 1QD,2
B1 1QE,2
B1 1QF,1
B1 1QG,2
B1 1QH,2
B1 1QJ,2
B1 1QL,1
B1 1QN,2
B1 1QP,1
B1 1QQ,2
B1 1QR,1
B1 1QS,1
B1 1QT,1
B1 1QU,2
B1 1QW,1
B1 1QX,2
B1 1QY,4
B1 1QZ,2
B1 1RB,4
B1 1RD,4
B1 1RE,4
B1 1RF,4
B1 1RG,4
B1 1RH,2
B1 1RJ,3
B1 1RL,3
B1 1RN,3
B1 1RP,4
B1 1RQ,3
B1 1RR,2
B1 1RS,2
B1 1RT,4
B1 1RU,3
B1 1RW,4
B1 1RX,4
B1 1RY,3
B1 1RZ,4
B1 1SA,3
B1 1SB,3
B1 1SD,4
B1 1SE,4
B1 1SF,3
B1 1SG,3
B1 1SH,4
B1 1SJ,1
B1 1SL,3
B1 1SN,3
B1 1SP,4
B1 1SR,3
B1 1SS,1
B1 1SU,4
B1 1SW,3
B1 1SX,1
B1 1SY,3
B1 1SZ,3
B1 1TA,4
B1 1TB,4
B1 1TD,4
B1 1TE,4
B1 1TF,4
B1 1TG,4
B1 1TH,4
B1 1TJ,3
B1 1TL,4
B1 1TN,4
B1 1TP,4
B1 1TQ,4
B1 1TR,4
B1 1TS,4
B1 1TT,4
B1 1TU,1
B1 1TW,4
B1 1TX,3
B1 1TY,1
B1 1TZ,1
B1 1UA,4
B1 1UB,1
B1 1UD,1
B1 1UE,1
B1 1UF,1
B1 1UG,1
B1 1UH,1
B1 1UJ,1
B1 1UL,4
B1 1UN,4
B1 1UP,4
B1 1UQ,1
B1 1UR,4
B1 1US,4
B1 1UT,4
B1 1UU,1
B1 1UW,4
B1 1UX,4
B1 1UY,1
B1 1UZ,1
B1 1WA,4
B1 1WB,4
B1 1WD,4
B1 1WE,1
B1 1WF,1
B1 1WN,4
B1 1WP,4
B1 1WQ,4
B1 1WT,4
B1 1WU,4
B1 1WZ,4
B1 1XA,4
B1 1XD,4
B1 1XL,4
B1 1XT,4
B1 1XX,4
B1 1YB,1
B1 1YD,4
B1 1YQ,4
B1 1ZD,4
B1 1ZQ,1
B1 1ZR,4
B1 1ZT,4
B1 1ZU,4
B1 1ZW,4
B1 2AA,1
B1 2AB,1
B1 2AD,4
B1 2AE,3
B1 2AF,4
B1 2AG,1
B1 2AH,4
B1 2AJ,4
B1 2AL,4
B1 2AN,1
B1 2AP,4
B1 2AQ,4
B1 2AS,4
B1 2AT,4
B1 2AU,3
B1 2AW,3
B1 2AX,4
B1 2AY,1
B1 2BA,1
B1 2BB,4
B1 2BG,4
B1 2BH,4
B1 2BJ,4
B1 2BL,1
B1 2BN,4
B1 2BP,4
B1 2BS,4
B1 2BT,3
B1 2BU,4
B1 2BX,4
B1 2BY,4
B1 2BZ,1
B1 2DA,4
B1 2DB,3
B1 2DD,4
B1 2DE,4
B1 2DF,4
B1 2DG,3
B1 2DH,4
B1 2DJ,1
B1 2DL,1
B1 2DN,1
B1 2DQ,4
B1 2DR,4
B1 2DS,3
B1 2DT,4
B1 2DU,1
